shotID,sessionID,uniqueid,lineCallType,id,playingPlayerID,receivingPlayerID,in_out,review,status,x,y,ballSpeed,impactSpeed,netHeight,spin,playingx,playingy,receivingx,receivingy,shotType,timestamp,TimeSinceLast,bitNet,bounce_x,bounce_y,bounce_playerPosition_x,bounce_playerPosition_y,bounce2ago_x,bounce2ago_y,stroke,MachineSetting,ServeSide,Type
1025973,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,0,4,NA,-33.717,15.092,88.152,62.966,2.35,0,47.29,-1.776,-50,-1.412,NA,1570808833.785,1.5250000953674316,0,29.902,3.105,50,-3.134,31.999,-0.85,Forehand,Narrow 60 MPH,NA,Down the Line
1025974,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,31.932,-1.048,65.737,46.955,1.593,0,-50,-1.412,50,-6.653,NA,1570808835.482,1.6970000267028809,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025975,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,1,NA,-37.521,1.459,77.885,55.632,2.326,0,46.944,-3.903,-50,-1.412,NA,1570808836.931,1.4489998817443848,0,31.932,-1.048,50,-6.653,29.902,3.105,Forehand,Narrow 60 MPH,NA,Cross Court
1025976,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,28.947,3.986,60.566,43.261,1.54,0,-50,-1.412,50,-1.526,NA,1570808838.671,1.7400000095367432,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025976,12205,89ab63cd469b0589,0,1,Michael,Michael,0,0,NA,0,2.906,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,28.947,3.986,50,-1.526,31.932,-1.048,Forehand,Narrow 60 MPH,NA,Down the Line
1025977,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,27.032,-0.829,58.79,41.993,1.217,0,-50,-1.412,50,-9.127,NA,1570808841.856,3.184999942779541,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025977,12205,89ab63cd469b0589,0,1,Michael,Michael,0,0,NA,0,8.202,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,27.032,-0.829,50,-9.127,28.947,3.986,Forehand,Narrow 60 MPH,NA,Cross Court
1025978,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,27.476,4.76,61.689,44.064,1.295,0,-50,-2.606,50,-0.118,NA,1570808845.075,3.2190001010894775,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025979,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,0,NA,-13.749,3.103,41.697,29.783,1.915,0,50,0.447,-50,1.14,NA,1570808846.713,1.6380000114440918,0,27.476,4.76,50,-0.118,27.032,-0.829,Forehand,Narrow 60 MPH,NA,Down the Line
1025980,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,25.721,1.76,50.415,36.011,1.507,0,-50,1.14,50,-7.09,NA,1570808848.356,1.6429998874664307,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025981,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,4,NA,-32.942,11.609,51.395,36.711,5.098,0,49.44,-4.563,-50,1.14,NA,1570808850.075,1.7190001010894775,0,25.721,1.76,50,-7.09,27.476,4.76,Forehand,Narrow 60 MPH,NA,Down the Line
1025982,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,27.4,2.544,61.252,43.751,1.09,0,-50,1.14,50,-9.054,NA,1570808851.463,1.3880000114440918,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025983,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,0,NA,-25.603,8.202,74.236,53.026,1.178,0,50,-4.128,-50,1.14,NA,1570808852.947,1.4839999675750732,0,27.4,2.544,50,-9.054,25.721,1.76,Forehand,Narrow 60 MPH,NA,Down the Line
1025984,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,29.359,3.375,58.587,41.848,1.834,0,-50,1.14,50,-7.962,NA,1570808858.075,5.128000020980835,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
